app,task_name,prompt,success,agent_steps,min_steps,max_steps,actions
calculator,calculator_add,Calculate the result of '3 + 5',True,4,4,8,"Touch on a button that has text ""3""
Touch on a button that has text ""+""
Touch on a button that has text ""5""
Touch on a button that has text ""="""
calculator,calculator_convert_length,Use Unit converter function to calculate how many kilometers 1mile is equal to,True,7,6,12,"Touch on a button that has content_desc ""Unit converter""
Touch on a button that has text ""Length""
Touch on a button that has text ""Kilometer, 0, km""
Touch on a button that has text ""Mile (mi)""
Touch on a button that has text ""1""
Touch on a button that has text ""Meter, 1,609.344, m""
Touch on a button that has text ""Kilometer (km)"""
calculator,calculator_cube,Calculate the result of '3 ^ 3',True,4,4,8,"Touch on a button that has text ""3""
Touch on a button that has text ""^""
Touch on a button that has text ""3""
Touch on a button that has text ""="""
calculator,calculator_divide,Calculate the result of '12 ÷ 3',True,5,5,10,"Touch on a button that has text ""1""
Touch on a button that has text ""2""
Touch on a button that has text ""÷""
Touch on a button that has text ""3""
Touch on a button that has text ""="""
calculator,calculator_minus,Calculate the result of '12 - 4',True,5,5,10,"Touch on a button that has text ""1""
Touch on a button that has text ""2""
Touch on a button that has text ""-""
Touch on a button that has text ""4""
Touch on a button that has text ""="""
calculator,calculator_mixed,Calculate the result of '18+(24Ã—3)-(9Ã·3)',True,17,17,34,"press 1
press 8
press +
press (
press 2
press 4
press Ã—
press 3
press )
press -
press (
press 9
press Ã·
press 3
press )
press ="
calculator,calculator_multiply,Calculate the result of '12*4',True,5,5,10,"Touch on a button that has text ""1""
Touch on a button that has text ""2""
Touch on a button that has text ""×""
Touch on a button that has text ""4""
Touch on a button that has text ""="""
calculator,calculator_point,Calculate the result of '19.7 - 81.3',True,10,10,20,"press 1
press 9
press .
press 7
press -
press 8
press 1
press .
press 3
press ="
calculator,calculator_recalculate,"Calculate the result of '12 × 5'. However, during the input process, the number '4' was mistakenly entered instead of '5'. Correct this by first enter 'C' to delete '4' and re-entering '5' and then perform the calculation",True,3,3,6,"Touch on a button that has text ""C""
Touch on a button that has text ""5""
Touch on a button that has text ""="""
calculator,calculator_square,Calculate the result of 'sqrt(16) + 3',True,6,6,12,"press sqrt
press 1
press 6
press +
press 3
press ="
calendar,calendar_create_and_search,Create a new event 'laundry' and then search for it,True,6,6,12,"press +
press event
fill laundry
press save
press search
text laundry"
calendar,calendar_daily_view,switch to daily view,True,2,2,4,"Touch on a button that has content_desc ""Change view""
Touch on a button that has text ""Daily view"""
calendar,calendar_delete_tasks,"Show events in simple event list, delete the laundry and meeting events.",True,8,6,14,"Touch on a button that has content_desc ""Change view""
Touch on a button that has text ""Simple event list""
Long touch on a button that has text ""Laundry, 11:00 PM""
Touch on a button that has content_desc ""Delete""
Touch on a button that has text ""Yes""
Long touch on a button that has text ""Meeting, 11:00 PM""
Touch on a button that has content_desc ""Delete""
Touch on a button that has text ""Yes"""
calendar,calendar_laundry,Create a new event 'laundry',True,4,4,8,"Touch on a button that has content_desc ""New Event""
Touch on a button that has text ""Event""
Fill a focused textfield that has text ""Title"" with ""laundry""
Touch on a button that has content_desc ""Save"""
calendar,calendar_new_task,"Create a new task, named 'laundry', with the description of 'wash all my clothes'. Mark it as all-day.",True,6,6,14,"Touch on a button that has content_desc ""New Event""
Touch on a button that has text ""Task""
Fill a focused textfield that has text ""Title"" with ""laundry""
Fill a textfield that has text ""Description"" with ""wash all my clothes""
Touch on a checkbox that has text ""All-day""
Touch on a button that has content_desc ""Save"""
calendar,calendar_next_month,show events of next month,True,1,1,2,press > to move to next month
calendar,calendar_open_about,open about page,True,2,2,4,"Touch on a button that has content_desc ""More options""
Touch on a button that has text ""About"""
calendar,calendar_search,search event 'laundry',True,2,2,4,"Touch on a button that has content_desc ""Search""
Fill a focused textfield that has text ""Search"" with ""laundry"""
calendar,calendar_snooze_time,change snooze time to 1 minute,True,4,4,8,"press settings
scroll
press snooze time
select 1 minute"
calendar,calendar_start_week,go to settings and make weeks start on Monday,True,3,3,6,"Touch on a button that has content_desc ""Settings""
Touch on a button that has text ""Start week on, Sunday""
Touch on a button that has text ""Monday"""
contacts,contacts_about,open About View,True,2,2,4,"Touch on a button that has content_desc ""More options""
Touch on a button that has text ""About"""
contacts,contacts_create,"Create a new contact, his First Name is Yuzai, and his Phone Number is 123456789",True,4,6,12,"Touch on a button that has content_desc ""Create new contact""
Fill a textfield that has text ""First name"" with ""Yuzai""
Fill a textfield that has text ""Number"" with ""123456789""
Touch on a button that has content_desc ""Save"""
