app_name,task_desc,hash,original_actions,groundtruth_actions,trimmed_actions,correct_actions,total_actions,precision,all_correct,task_completed,end_correctly,last_action_eval,trimmed_guardian_actions,trimmed_action_evals
applauncher,Change theme color to light,11a062dc6dffce8acf85d276048014f2d7e3789ce92578de394b7d7b52ec1df0,16,7,7,5,7,0.7142857142857143,False,True,False,False,"-ACTION 1: touched on button that has text ""Light""
-ACTION 2: touched on button that has text ""White""
-ACTION 3: touched on button that has content-desc ""More options""
-ACTION 4: touched on button that has text ""Settings""
-ACTION 5: touched on button that has text ""Customize colors""
-ACTION 6: touched on button that has text ""Theme""
-ACTION 7: touched on button that has text ""Auto light / dark""","[False, False, True, True, True, True, True]"
applauncher,Disable closing this app when launching a different one,20112d3f45c57515f523084bb615fffabe2f463d2f300465d9dac7b9b155d8ee,16,3,3,0,3,0.0,False,False,False,False,"-ACTION 1: touched on button that has class name ""android.widget.ImageButton""
-ACTION 2: touched on button that has content-desc ""Toggle app name visibility""
-ACTION 3: touched on button that has content-desc ""Toggle app name visibility""","[False, False, False]"
calendar,Use 24 hour formats in the Calendar app,09b90ed4319d2ffd24dd52050c99b3c6b3b13e187306ba5ec426d4d3e1d063c6,16,3,3,2,3,0.6666666666666666,False,True,False,False,"-ACTION 1: touched on button that has text ""All-day ON""
-ACTION 2: touched on button that has content-desc ""More options""
-ACTION 3: touched on button that has text ""Settings""","[False, True, True]"
calendar,change the event type 'regular event' to 'deadlines',19c51276c1302fc90f7dcb004bb49dab4cb435882b03436899252d22baead8ef,16,7,7,0,7,0.0,False,False,False,True,"-ACTION 1: pressed ""BACK"" button to navigate back
-ACTION 2: pressed ""BACK"" button to navigate back
-ACTION 3: pressed ""BACK"" button to navigate back
-ACTION 4: pressed ""BACK"" button to navigate back
-ACTION 5: pressed ""BACK"" button to navigate back
-ACTION 6: pressed ""BACK"" button to navigate back
-ACTION 7: pressed ""BACK"" button to navigate back","[False, False, False, False, False, False, False]"
calendar,disable start week on Sunday,295bcdc418b1cc7f9f6359fcfda6096a0a80abcd0ef9f3e98990ddc859619e8c,16,3,3,2,3,0.6666666666666666,False,True,False,False,"-ACTION 1: touched on button that has text ""Regular event""
-ACTION 2: touched on button that has content-desc ""More options""
-ACTION 3: touched on button that has text ""Settings""","[False, True, True]"
calendar,export the events to test.ics under DCIM folder,913bea2ab07f13d5de0f335f3b4e6737ccf343f5768df50734a99a7f8c4c3f1b,16,7,7,4,7,0.5714285714285714,False,True,False,False,"-ACTION 1: touched on button that has text ""OK""
-ACTION 2: touched on button that has content-desc ""Save""
-ACTION 3: touched on button that has resource-id ""event_show_on_map""
-ACTION 4: touched on button that has content-desc ""Navigate up""
-ACTION 5: touched on button that has content-desc ""More options""
-ACTION 6: touched on button that has text ""Export events to an .ics file""
-ACTION 7: touched on button that has text ""DCIM""","[True, False, False, False, True, True, True]"
calendar,change the event reminder sound of Calendar app to adara,e8b601c47a045393c677aeddaee08ed7e638c44377571db157be7628db8d955b,16,5,5,5,5,1.0,True,True,False,False,"-ACTION 1: touched on button that has text ""Holidays""
-ACTION 2: touched on button that has text ""OK""
-ACTION 3: touched on button that has content-desc ""More options""
-ACTION 4: touched on button that has text ""Settings""
-ACTION 5: touched on button that has text ""Reminder sound""","[True, True, True, True, True]"
calendar,Add the holidays of China to the calendar,eef0462cd417a5f937ff9ec6aa34f1499a811574dd64ef9df7dbac3899f9e57a,16,3,3,3,3,1.0,True,True,False,False,"-ACTION 1: touched on button that has content-desc ""More options""
-ACTION 2: touched on button that has text ""Add holidays""
-ACTION 3: touched on button that has text ""China""","[True, True, True]"
camera,close the shutter sound,021fff0acccbe1c0dfafbd6bd253eb6ec258063435d37c3698029446199aed32,16,2,2,1,2,0.5,False,True,False,False,"-ACTION 1: pressed ""BACK"" button to navigate back
-ACTION 2: touched on button that has content-desc ""Settings""","[False, True]"
camera,take a selfie,0d9c616066f560809bc32ed80dffecc58a6d80ad360142aff2344f6d820d6b33,16,2,2,1,2,0.5,False,True,False,False,"-ACTION 1: pressed ""BACK"" button to navigate back
-ACTION 2: touched on button that has content-desc ""Toggle front/back camera""","[False, True]"
