task_name,gt_actions,candidate_actions,correct_actions,total_actions,precision,all_correct,task_completed,task_achieved,not_done_but_end,end_correctly,prefix_complete
calculator_add,4,5,5,5,1.0,True,True,True,False,True,1.0
calculator_convert_length,7,6,7,7,1.0,True,True,True,False,True,1.0
calculator_cube,4,5,5,5,1.0,True,True,True,False,True,1.0
calculator_divide,5,6,6,6,1.0,True,True,True,False,True,1.0
calculator_minus,5,6,6,6,1.0,True,True,True,False,True,1.0
calculator_mixed,16,14,16,16,1.0,False,False,False,True,False,1.0
calculator_multiply,5,6,6,6,1.0,True,True,True,False,True,1.0
calculator_point,10,10,10,10,1.0,True,True,True,False,True,1.0
calculator_recalculate,3,8,8,8,1.0,True,True,True,False,True,1.0
calculator_square,6,9,9,9,1.0,True,True,True,False,True,1.0
calendar_create_and_search,6,6,1,6,0.16666666666666666,False,False,False,False,False,0.16666666666666666
calendar_daily_view,2,4,2,4,0.5,False,False,True,False,True,0.5
calendar_delete_tasks,8,11,6,11,0.5454545454545454,False,False,True,False,True,0.5454545454545454
calendar_laundry,4,20,0,20,0.0,False,False,False,False,False,0.0
calendar_new_task,6,16,0,16,0.0,False,False,False,False,False,0.0
calendar_next_month,1,4,4,4,1.0,True,True,True,False,True,1.0
calendar_open_about,2,20,0,20,0.0,False,False,False,False,False,0.0
calendar_search,2,4,2,4,0.5,False,False,True,False,True,0.5
calendar_snooze_time,4,6,4,6,0.6666666666666666,False,False,True,False,True,0.6666666666666666
calendar_start_week,3,14,7,14,0.5,False,True,True,False,True,0.21428571428571427
contacts_about,2,3,3,3,1.0,True,True,True,False,True,1.0
contacts_create,4,6,6,6,1.0,True,True,True,False,True,1.0
contacts_delete,4,6,6,6,1.0,True,True,True,False,True,1.0
contacts_favorite,3,4,4,4,1.0,True,True,True,False,True,1.0
contacts_filter,3,5,3,5,0.6,False,False,False,False,False,0.6
contacts_hide_email,4,20,0,20,0.0,False,False,True,False,True,0.0
contacts_modify,4,7,7,7,1.0,True,True,True,False,True,1.0
contacts_remove_dialog,5,3,5,5,1.0,True,True,True,False,True,1.0
contacts_search,2,4,4,4,1.0,True,True,True,False,True,1.0
contacts_sort,4,6,6,6,1.0,True,True,True,False,True,1.0
filemanager_check_file_properties,3,5,5,5,1.0,True,True,True,False,True,1.0
filemanager_check_storage,1,4,4,4,1.0,True,True,True,False,True,1.0
filemanager_create_new_file,6,6,6,6,1.0,True,True,True,False,True,1.0
filemanager_delete_file,3,12,3,12,0.25,False,False,False,False,False,0.25
filemanager_delete_txt,4,12,0,12,0.0,False,False,False,False,False,0.0
filemanager_delete_videos,6,19,3,19,0.15789473684210525,False,False,False,False,False,0.15789473684210525
filemanager_hide_folder,5,20,0,20,0.0,False,False,False,False,False,0.0
filemanager_rename_file,5,9,9,9,1.0,True,True,True,False,True,1.0
filemanager_search_file,2,4,1,4,0.25,False,False,False,False,False,0.0
filemanager_sort_folder_by_size_desc,4,6,5,6,0.8333333333333334,False,True,True,False,True,0.16666666666666666
gallery_filter_by_images_and_videos,6,8,0,8,0.0,False,False,False,False,False,0.0
gallery_group_by_file_type,5,20,0,20,0.0,False,False,False,False,False,0.0
gallery_list_view_type,4,6,6,6,1.0,True,True,True,False,True,1.0
gallery_play_videos_automatically,3,5,5,5,1.0,True,True,True,False,True,1.0
gallery_remember_playback_position,5,5,5,5,1.0,True,True,True,False,True,1.0
gallery_set_favorite,5,6,6,6,1.0,True,True,True,False,True,1.0
gallery_set_wallpaper,6,20,0,20,0.0,False,False,False,False,False,0.0
gallery_show_hidden_items,3,9,0,9,0.0,False,False,False,False,False,0.0
gallery_sort_by_size_asc,5,6,6,6,1.0,True,True,True,False,True,1.0
gallery_use_24_hour_time_format,5,5,5,5,1.0,True,True,True,False,True,1.0
launcher_add_apps,4,6,2,6,0.3333333333333333,False,False,False,False,False,0.3333333333333333
launcher_check_contributor,2,11,0,11,0.0,False,False,False,False,False,0.0
launcher_hide_app_name,1,5,5,5,1.0,True,True,True,False,True,1.0
launcher_open_about_FAQ,3,20,0,20,0.0,False,False,False,False,False,0.0
launcher_remove_app,3,7,4,7,0.5714285714285714,False,False,True,False,True,0.5714285714285714
launcher_rename_app,4,20,0,20,0.0,False,False,False,False,False,0.0
launcher_search_app,2,4,2,4,0.5,False,False,True,False,True,0.5
launcher_setting_close_app_when_launching,3,7,2,7,0.2857142857142857,False,False,True,False,True,0.0
launcher_sort_by_custom,3,4,4,4,1.0,True,True,True,False,True,1.0
launcher_sort_by_title_desc,3,4,4,4,1.0,True,True,True,False,True,1.0
messager_add_block_numbers,5,7,7,7,1.0,True,True,True,False,True,1.0
messager_change_font_size,3,5,5,5,1.0,True,True,True,False,True,1.0
messager_check_message_properties,4,7,0,7,0.0,False,False,False,False,False,0.0
messager_create_conversation_and_check_message_properties,8,8,0,8,0.0,False,False,False,False,False,0.0
messager_create_conversation_and_search,8,10,0,10,0.0,False,False,False,False,False,0.0
messager_make_conversation_archived,4,3,2,4,0.5,False,False,False,False,False,0.5
messager_search_contacts,2,5,3,5,0.6,False,False,True,False,True,0.6
messager_search_message,2,5,5,5,1.0,True,True,True,False,True,1.0
messager_show_archived_messages,2,20,0,20,0.0,False,False,False,False,False,0.0
messager_start_a_conversation,5,7,4,7,0.5714285714285714,False,False,False,False,False,0.5714285714285714
music_player_album_sort_by_year,4,7,6,7,0.8571428571428571,False,True,True,False,True,0.2857142857142857
music_player_config_equalizer,3,5,5,5,1.0,True,True,True,False,True,1.0
music_player_create_playlist,5,7,7,7,1.0,True,True,True,False,True,1.0
music_player_create_playlist_and_search,7,9,0,9,0.0,False,False,False,False,False,0.0
music_player_create_playlist_and_sort_desc,8,9,9,9,1.0,True,True,True,False,True,1.0
music_player_open_faq,3,9,0,9,0.0,False,False,False,False,False,0.0
music_player_open_settings,2,5,4,5,0.8,False,True,True,False,True,0.0
music_player_playlist_sort_desc,3,20,0,20,0.0,False,False,False,False,False,0.0
music_player_rescan_media,2,20,2,20,0.1,False,False,False,False,False,0.05
music_player_search_playlist,2,5,5,5,1.0,True,True,True,False,True,1.0
note_add,3,4,4,4,1.0,True,True,True,False,True,1.0
note_delete,7,12,0,12,0.0,False,False,False,False,False,0.0
note_item_checked,1,5,1,5,0.2,False,False,True,False,True,0.0
note_lock,6,7,7,7,1.0,True,True,True,False,True,1.0
note_new_checklist,4,6,6,6,1.0,True,True,True,False,True,1.0
note_new_checklist_items,7,6,7,7,1.0,True,True,True,False,True,1.0
note_open,1,3,3,3,1.0,True,True,True,False,True,1.0
note_open_about,2,5,5,5,1.0,True,True,True,False,True,1.0
note_rename,3,6,6,6,1.0,True,True,True,False,True,1.0
note_search,2,5,0,5,0.0,False,False,False,False,False,0.0
recorder_bit_rate,3,5,5,5,1.0,True,True,True,False,True,1.0
recorder_delete,5,8,0,8,0.0,False,False,False,False,False,0.0
recorder_delete_all,7,7,4,7,0.5714285714285714,False,False,True,False,True,0.5714285714285714
recorder_empty_trash,3,13,0,13,0.0,False,False,False,False,False,0.0
recorder_extension,3,6,3,6,0.5,False,False,True,False,True,0.5
recorder_recycle_bin,1,16,0,16,0.0,False,False,False,False,False,0.0
recorder_recycle_settings,3,12,0,12,0.0,False,False,False,False,False,0.0
recorder_rename,5,9,9,9,1.0,True,True,True,False,True,1.0
recorder_rename_all,13,2,0,13,0.0,False,False,False,False,False,0.0
recorder_theme,6,8,8,8,1.0,True,True,True,False,True,1.0
