task_name,gt_actions,candidate_actions,correct_actions,total_actions,precision,all_correct,task_completed,task_achieved,not_done_but_end,end_correctly,prefix_complete
calculator_add,4,4,4,4,1.0,True,True,True,False,True,1.0
calculator_cube,4,4,4,4,1.0,True,True,True,False,True,1.0
calculator_divide,5,5,5,5,1.0,True,True,True,False,True,1.0
calculator_minus,5,5,5,5,1.0,True,True,True,False,True,1.0
calculator_mixed,16,18,8,18,0.4444444444444444,False,False,False,False,False,0.4444444444444444
calculator_multiply,5,5,5,5,1.0,True,True,True,False,True,1.0
calculator_point,10,27,3,27,0.1111111111111111,False,False,False,False,False,0.07407407407407407
calculator_recalculate,3,71,3,71,0.04225352112676056,False,False,False,False,False,0.028169014084507043
calculator_square,6,0,0,6,0.0,False,False,False,False,False,0.0
calendar_create_and_search,6,5,6,6,1.0,True,True,True,False,True,1.0
calendar_daily_view,2,2,2,2,1.0,True,True,True,False,True,1.0
calendar_delete_tasks,8,12,5,12,0.4166666666666667,False,False,False,True,False,0.16666666666666666
calendar_laundry,4,3,4,4,1.0,True,True,True,False,True,1.0
calendar_new_task,6,5,6,6,1.0,True,True,True,False,True,1.0
calendar_next_month,1,18,1,18,0.05555555555555555,False,False,True,False,True,0.05555555555555555
calendar_open_about,2,2,2,2,1.0,True,True,True,False,True,1.0
calendar_search,2,2,2,2,1.0,True,True,True,False,True,1.0
calendar_snooze_time,4,4,4,4,1.0,True,True,True,False,True,1.0
calendar_start_week,3,5,5,5,1.0,True,True,True,False,True,1.0
contacts_about,2,3,3,3,1.0,True,True,True,False,True,1.0
contacts_create,4,4,4,4,1.0,True,True,True,False,True,1.0
contacts_delete,4,3,4,4,1.0,True,True,True,False,True,1.0
contacts_favorite,3,2,3,3,1.0,True,True,True,False,True,1.0
contacts_filter,3,2,2,3,0.6666666666666666,False,False,True,False,True,0.6666666666666666
contacts_hide_email,4,7,3,7,0.42857142857142855,False,False,False,False,False,0.42857142857142855
contacts_modify,4,4,4,4,1.0,True,True,True,False,True,1.0
contacts_remove_dialog,5,2,0,5,0.0,False,False,False,False,False,0.0
contacts_search,2,1,2,2,1.0,True,True,True,False,True,1.0
contacts_sort,4,4,4,4,1.0,True,True,True,False,True,1.0
filemanager_check_file_properties,3,15,2,15,0.13333333333333333,False,False,False,False,False,0.13333333333333333
filemanager_check_storage,1,1,1,1,1.0,True,True,True,False,True,1.0
filemanager_create_new_file,6,3,1,6,0.16666666666666666,False,False,False,False,False,0.16666666666666666
filemanager_delete_file,3,36,1,36,0.027777777777777776,False,False,False,False,False,0.027777777777777776
filemanager_delete_txt,4,13,1,13,0.07692307692307693,False,False,False,False,False,0.07692307692307693
filemanager_delete_videos,6,6,1,6,0.16666666666666666,False,False,False,False,False,0.16666666666666666
filemanager_hide_folder,5,4,0,5,0.0,False,False,False,False,False,0.0
filemanager_rename_file,5,11,4,11,0.36363636363636365,False,True,True,False,True,0.18181818181818182
filemanager_search_file,2,2,2,2,1.0,True,True,True,False,True,1.0
filemanager_sort_folder_by_size_desc,4,4,4,4,1.0,True,True,True,False,True,1.0
gallery_filter_by_images_and_videos,6,5,6,6,1.0,True,True,True,False,True,1.0
gallery_group_by_file_type,5,4,1,5,0.2,False,False,False,False,False,0.0
gallery_list_view_type,4,3,3,4,0.75,False,False,False,False,False,0.75
gallery_play_videos_automatically,3,5,3,5,0.6,False,False,True,False,True,0.6
gallery_remember_playback_position,5,3,5,5,1.0,True,True,True,False,True,1.0
gallery_set_favorite,5,4,1,5,0.2,False,False,False,False,False,0.2
gallery_set_wallpaper,6,13,1,13,0.07692307692307693,False,False,False,False,False,0.07692307692307693
gallery_show_hidden_items,3,4,1,4,0.25,False,False,False,False,False,0.0
gallery_sort_by_size_asc,5,5,5,5,1.0,True,True,True,False,True,1.0
gallery_use_24_hour_time_format,5,4,4,5,0.8,False,False,False,False,False,0.8
launcher_add_apps,4,3,3,4,0.75,False,False,False,False,False,0.75
launcher_check_contributor,2,2,2,2,1.0,True,True,True,False,True,1.0
launcher_hide_app_name,1,1,1,1,1.0,True,True,True,False,True,1.0
launcher_open_about_FAQ,3,2,3,3,1.0,True,True,True,False,True,1.0
launcher_remove_app,3,3,2,3,0.6666666666666666,False,False,False,False,False,0.6666666666666666
launcher_rename_app,4,5,5,5,1.0,False,False,False,True,False,1.0
launcher_search_app,2,1,2,2,1.0,True,True,True,False,True,1.0
launcher_setting_close_app_when_launching,3,2,1,3,0.3333333333333333,False,False,False,False,False,0.3333333333333333
launcher_sort_by_custom,3,2,1,3,0.3333333333333333,False,False,False,False,False,0.3333333333333333
launcher_sort_by_title_desc,3,2,2,3,0.6666666666666666,False,False,False,False,False,0.6666666666666666
messager_add_block_numbers,5,2,2,5,0.4,False,False,False,False,False,0.4
messager_change_font_size,3,3,3,3,1.0,False,False,False,True,False,1.0
messager_check_message_properties,4,4,4,4,1.0,True,True,True,False,True,1.0
messager_create_conversation_and_check_message_properties,8,6,5,8,0.625,False,False,False,False,False,0.625
