task_name,gt_actions,candidate_actions,correct_actions,total_actions,precision,all_correct,task_completed,task_achieved,not_done_but_end,end_correctly,prefix_complete
calculator_add,4,0,0,4,0.0,False,False,False,False,False,0.0
calculator_convert_length,7,2,2,7,0.2857142857142857,False,False,False,False,False,0.2857142857142857
calculator_cube,4,0,0,4,0.0,False,False,False,False,False,0.0
calculator_divide,5,11,2,11,0.18181818181818182,False,False,False,False,False,0.09090909090909091
calculator_minus,5,5,5,5,1.0,True,True,True,False,True,1.0
calculator_mixed,16,13,0,16,0.0,False,False,False,False,False,0.0
calculator_multiply,5,5,5,5,1.0,True,True,True,False,True,1.0
calculator_point,10,13,1,13,0.07692307692307693,False,False,False,False,False,0.07692307692307693
calculator_recalculate,3,3,3,3,1.0,True,True,True,False,True,1.0
calculator_square,6,0,0,6,0.0,False,False,False,False,False,0.0
calendar_create_and_search,6,13,8,13,0.6153846153846154,False,False,True,False,True,0.6153846153846154
calendar_daily_view,2,5,2,5,0.4,False,False,True,False,True,0.4
calendar_delete_tasks,8,13,8,13,0.6153846153846154,False,False,True,False,True,0.6153846153846154
calendar_laundry,4,9,1,9,0.1111111111111111,False,False,False,False,False,0.1111111111111111
calendar_new_task,6,4,4,6,0.6666666666666666,False,False,False,False,False,0.6666666666666666
calendar_next_month,1,3,2,3,0.6666666666666666,False,False,True,False,True,0.6666666666666666
calendar_open_about,2,2,2,2,1.0,True,True,True,False,True,1.0
calendar_search,2,5,3,5,0.6,False,False,True,False,True,0.6
calendar_snooze_time,4,7,1,7,0.14285714285714285,False,False,False,False,False,0.14285714285714285
calendar_start_week,3,4,3,4,0.75,False,False,True,False,True,0.75
contacts_about,2,5,2,5,0.4,False,False,True,False,True,0.4
contacts_create,4,9,5,9,0.5555555555555556,False,True,True,False,True,0.2222222222222222
contacts_delete,4,6,6,6,1.0,True,True,True,False,True,1.0
contacts_favorite,3,5,2,5,0.4,False,False,True,False,True,0.4
contacts_filter,3,7,3,7,0.42857142857142855,False,False,True,False,True,0.42857142857142855
contacts_hide_email,4,5,4,5,0.8,False,True,True,False,True,0.0
contacts_modify,4,4,4,4,1.0,True,True,True,False,True,1.0
contacts_remove_dialog,5,9,8,9,0.8888888888888888,False,False,True,False,True,0.8888888888888888
contacts_search,2,4,3,4,0.75,False,False,True,False,True,0.75
contacts_sort,4,3,2,4,0.5,False,False,False,False,False,0.5
filemanager_check_file_properties,3,5,2,5,0.4,False,False,False,False,False,0.4
filemanager_check_storage,1,3,3,3,1.0,True,True,True,False,True,1.0
filemanager_create_new_file,6,11,11,11,1.0,True,True,True,False,True,1.0
filemanager_delete_file,3,7,4,7,0.5714285714285714,False,False,True,False,True,0.5714285714285714
filemanager_delete_txt,4,7,2,7,0.2857142857142857,False,False,False,False,False,0.2857142857142857
filemanager_delete_videos,6,13,2,13,0.15384615384615385,False,False,False,False,False,0.15384615384615385
filemanager_hide_folder,5,7,5,7,0.7142857142857143,False,False,False,False,False,0.7142857142857143
filemanager_rename_file,5,9,5,9,0.5555555555555556,False,False,False,False,False,0.5555555555555556
filemanager_search_file,2,4,4,4,1.0,True,True,True,False,True,1.0
filemanager_sort_folder_by_size_desc,4,9,3,9,0.3333333333333333,False,False,True,False,True,0.3333333333333333
gallery_filter_by_images_and_videos,6,13,8,13,0.6153846153846154,False,False,False,False,False,0.6153846153846154
gallery_group_by_file_type,5,11,1,11,0.09090909090909091,False,False,False,False,False,0.09090909090909091
gallery_list_view_type,4,3,3,4,0.75,False,False,False,False,False,0.75
gallery_play_videos_automatically,3,4,4,4,1.0,True,True,True,False,True,1.0
gallery_remember_playback_position,5,3,5,5,1.0,True,True,True,False,True,1.0
gallery_set_favorite,5,7,2,7,0.2857142857142857,False,False,False,False,False,0.2857142857142857
gallery_set_wallpaper,6,13,6,13,0.46153846153846156,False,False,True,False,True,0.46153846153846156
gallery_show_hidden_items,3,3,3,3,1.0,True,True,True,False,True,1.0
gallery_sort_by_size_asc,5,4,4,5,0.8,False,False,False,False,False,0.8
gallery_use_24_hour_time_format,5,11,5,11,0.45454545454545453,False,False,True,False,True,0.45454545454545453
launcher_add_apps,4,3,4,4,1.0,True,True,True,False,True,1.0
launcher_check_contributor,2,7,2,7,0.2857142857142857,False,False,True,False,True,0.2857142857142857
launcher_hide_app_name,1,1,1,1,1.0,True,True,True,False,True,1.0
launcher_open_about_FAQ,3,3,3,3,1.0,True,True,True,False,True,1.0
launcher_remove_app,3,6,4,6,0.6666666666666666,False,False,True,False,True,0.6666666666666666
launcher_rename_app,4,4,4,4,1.0,True,True,True,False,True,1.0
launcher_search_app,2,5,2,5,0.4,False,False,True,False,True,0.4
launcher_setting_close_app_when_launching,3,6,5,6,0.8333333333333334,False,False,True,False,True,0.8333333333333334
launcher_sort_by_custom,3,7,3,7,0.42857142857142855,False,False,True,False,True,0.42857142857142855
launcher_sort_by_title_desc,3,2,2,3,0.6666666666666666,False,False,False,False,False,0.6666666666666666
messager_add_block_numbers,5,6,6,6,1.0,True,True,True,False,True,1.0
messager_change_font_size,3,4,4,4,1.0,True,True,True,False,True,1.0
messager_check_message_properties,4,9,5,9,0.5555555555555556,False,False,True,False,True,0.2222222222222222
messager_create_conversation_and_check_message_properties,8,13,7,13,0.5384615384615384,False,False,False,False,False,0.3076923076923077
messager_create_conversation_and_search,8,0,0,8,0.0,False,False,False,False,False,0.0
messager_make_conversation_archived,4,0,0,4,0.0,False,False,False,False,False,0.0
messager_search_contacts,2,5,2,5,0.4,False,False,True,False,True,0.4
messager_search_message,2,5,2,5,0.4,False,False,True,False,True,0.4
messager_show_archived_messages,2,2,2,2,1.0,True,True,True,False,True,1.0
messager_start_a_conversation,5,13,8,13,0.6153846153846154,False,False,True,False,True,0.15384615384615385
music_player_album_sort_by_year,4,3,3,4,0.75,False,False,False,False,False,0.75
music_player_config_equalizer,3,3,3,3,1.0,True,True,True,False,True,1.0
music_player_create_playlist,5,11,3,11,0.2727272727272727,False,False,False,False,False,0.09090909090909091
music_player_create_playlist_and_search,7,13,5,13,0.38461538461538464,False,False,False,False,False,0.38461538461538464
music_player_create_playlist_and_sort_desc,8,13,0,13,0.0,False,False,False,False,False,0.0
music_player_open_faq,3,3,3,3,1.0,True,True,True,False,True,1.0
music_player_open_settings,2,5,2,5,0.4,False,False,True,False,True,0.4
music_player_playlist_sort_desc,3,7,3,7,0.42857142857142855,False,False,True,False,True,0.42857142857142855
music_player_rescan_media,2,5,2,5,0.4,False,False,True,False,True,0.4
music_player_search_playlist,2,5,3,5,0.6,False,False,True,False,True,0.6
note_add,3,7,5,7,0.7142857142857143,False,False,True,False,True,0.7142857142857143
note_delete,7,2,0,7,0.0,False,False,False,False,False,0.0
note_item_checked,1,3,3,3,1.0,True,True,True,False,True,1.0
note_lock,6,13,8,13,0.6153846153846154,False,False,True,False,True,0.0
note_new_checklist,4,9,4,9,0.4444444444444444,False,False,True,False,True,0.4444444444444444
note_new_checklist_items,7,13,8,13,0.6153846153846154,False,False,True,False,True,0.46153846153846156
note_open,1,3,1,3,0.3333333333333333,False,False,True,False,True,0.3333333333333333
note_open_about,2,5,2,5,0.4,False,False,True,False,True,0.4
note_rename,3,5,5,5,1.0,True,True,True,False,True,1.0
note_search,2,5,4,5,0.8,False,False,True,False,True,0.8
recorder_bit_rate,3,3,3,3,1.0,True,True,True,False,True,1.0
recorder_delete,5,11,5,11,0.45454545454545453,False,True,True,False,True,0.0
recorder_delete_all,7,13,8,13,0.6153846153846154,False,True,True,False,True,0.0
recorder_empty_trash,3,2,1,3,0.3333333333333333,False,False,False,False,False,0.3333333333333333
recorder_extension,3,5,3,5,0.6,False,True,True,False,True,0.2
recorder_recycle_bin,1,3,1,3,0.3333333333333333,False,False,True,False,True,0.3333333333333333
recorder_recycle_settings,3,7,1,7,0.14285714285714285,False,False,False,False,False,0.14285714285714285
recorder_rename,5,9,5,9,0.5555555555555556,False,False,True,False,True,0.5555555555555556
recorder_rename_all,13,13,13,13,1.0,True,True,True,False,True,1.0
recorder_theme,6,13,6,13,0.46153846153846156,False,False,True,False,True,0.46153846153846156
