task_name,gt_actions,candidate_actions,correct_actions,total_actions,precision,all_correct,task_completed,task_achieved,not_done_but_end,end_correctly,prefix_complete
calculator_add,4,15,2,15,0.13333333333333333,False,False,False,False,False,0.13333333333333333
calculator_convert_length,7,15,1,15,0.06666666666666667,False,False,False,False,False,0.06666666666666667
calculator_cube,4,15,1,15,0.06666666666666667,False,False,False,False,False,0.06666666666666667
calculator_divide,5,15,4,15,0.26666666666666666,False,False,False,False,False,0.2
calculator_minus,5,30,2,30,0.06666666666666667,False,False,False,False,False,0.06666666666666667
calculator_mixed,16,30,1,30,0.03333333333333333,False,False,False,False,False,0.03333333333333333
calculator_multiply,5,15,4,15,0.26666666666666666,False,False,True,False,True,0.26666666666666666
calculator_point,10,30,1,30,0.03333333333333333,False,False,False,False,False,0.03333333333333333
calculator_recalculate,3,15,1,15,0.06666666666666667,False,False,False,False,False,0.0
calculator_square,6,15,1,15,0.06666666666666667,False,False,False,False,False,0.06666666666666667
calendar_create_and_search,6,15,0,15,0.0,False,False,False,False,False,0.0
calendar_daily_view,2,15,1,15,0.06666666666666667,False,False,False,False,False,0.06666666666666667
calendar_delete_tasks,8,15,1,15,0.06666666666666667,False,False,False,False,False,0.0
calendar_laundry,4,15,2,15,0.13333333333333333,False,False,False,False,False,0.13333333333333333
calendar_next_month,1,15,1,15,0.06666666666666667,False,False,True,False,True,0.0
calendar_open_about,2,15,1,15,0.06666666666666667,False,False,False,False,False,0.06666666666666667
calendar_search,2,15,1,15,0.06666666666666667,False,False,False,False,False,0.0
calendar_snooze_time,4,15,0,15,0.0,False,False,False,False,False,0.0
calendar_start_week,3,15,0,15,0.0,False,False,False,False,False,0.0
contacts_about,2,15,1,15,0.06666666666666667,False,False,False,False,False,0.06666666666666667
contacts_create,4,30,1,30,0.03333333333333333,False,False,False,False,False,0.03333333333333333
contacts_delete,4,15,3,15,0.2,False,False,False,False,False,0.2
contacts_favorite,3,15,3,15,0.2,False,False,True,False,True,0.2
contacts_filter,3,15,1,15,0.06666666666666667,False,False,False,False,False,0.06666666666666667
contacts_hide_email,4,15,0,15,0.0,False,False,False,False,False,0.0
contacts_modify,4,15,1,15,0.06666666666666667,False,False,False,False,False,0.06666666666666667
contacts_remove_dialog,5,15,0,15,0.0,False,False,False,False,False,0.0
contacts_search,2,15,15,15,1.0,True,True,True,False,True,1.0
contacts_sort,4,15,1,15,0.06666666666666667,False,False,False,False,False,0.06666666666666667
