task_name,gt_actions,candidate_actions,correct_actions,total_actions,precision,all_correct,task_completed,task_achieved,not_done_but_end,end_correctly,prefix_complete
calculator_add,4,4,4,4,1.0,True,True,True,False,True,1.0
calculator_convert_length,7,7,7,7,1.0,True,True,True,False,True,1.0
calculator_cube,4,4,4,4,1.0,True,True,True,False,True,1.0
calculator_divide,5,5,5,5,1.0,True,True,True,False,True,1.0
calculator_minus,5,5,5,5,1.0,True,True,True,False,True,1.0
calculator_mixed,16,11,6,16,0.375,False,False,False,False,False,0.375
calculator_multiply,5,5,5,5,1.0,True,True,True,False,True,1.0
calculator_point,10,11,8,11,0.7272727272727273,False,False,False,False,False,0.7272727272727273
calculator_recalculate,3,3,3,3,1.0,True,True,True,False,True,1.0
calculator_square,6,13,1,13,0.07692307692307693,False,False,False,False,False,0.07692307692307693
calendar_create_and_search,6,5,5,6,0.8333333333333334,False,False,False,False,False,0.8333333333333334
calendar_daily_view,2,2,2,2,1.0,True,True,True,False,True,1.0
calendar_delete_tasks,8,8,8,8,1.0,True,True,True,False,True,1.0
calendar_laundry,4,4,4,4,1.0,False,False,False,True,False,1.0
calendar_new_task,6,6,6,6,1.0,True,True,True,False,True,1.0
calendar_next_month,1,1,1,1,1.0,True,True,True,False,True,1.0
calendar_open_about,2,2,2,2,1.0,True,True,True,False,True,1.0
calendar_search,2,2,2,2,1.0,True,True,True,False,True,1.0
calendar_snooze_time,4,9,1,9,0.1111111111111111,False,False,False,False,False,0.1111111111111111
calendar_start_week,3,3,3,3,1.0,True,True,True,False,True,1.0
contacts_about,2,2,2,2,1.0,True,True,True,False,True,1.0
contacts_create,4,4,4,4,1.0,True,True,True,False,True,1.0
contacts_delete,4,4,4,4,1.0,True,True,True,False,True,1.0
contacts_favorite,3,3,3,3,1.0,True,True,True,False,True,1.0
contacts_filter,3,3,3,3,1.0,True,True,True,False,True,1.0
contacts_hide_email,4,5,0,5,0.0,False,False,False,False,False,0.0
contacts_modify,4,4,4,4,1.0,True,True,True,False,True,1.0
contacts_remove_dialog,5,5,5,5,1.0,True,True,True,False,True,1.0
contacts_search,2,1,1,2,0.5,False,False,False,False,False,0.5
contacts_sort,4,4,4,4,1.0,True,True,True,False,True,1.0
filemanager_check_file_properties,3,3,3,3,1.0,True,True,True,False,True,1.0
filemanager_check_storage,1,1,1,1,1.0,True,True,True,False,True,1.0
filemanager_create_new_file,6,6,6,6,1.0,True,True,True,False,True,1.0
filemanager_delete_file,3,3,3,3,1.0,True,True,True,False,True,1.0
filemanager_delete_txt,4,4,4,4,1.0,True,True,True,False,True,1.0
filemanager_delete_videos,6,6,6,6,1.0,True,True,True,False,True,1.0
filemanager_hide_folder,5,5,5,5,1.0,True,True,True,False,True,1.0
filemanager_rename_file,5,5,5,5,1.0,True,True,True,False,True,1.0
filemanager_search_file,2,1,1,2,0.5,False,False,False,False,False,0.5
filemanager_sort_folder_by_size_desc,4,4,4,4,1.0,True,True,True,False,True,1.0
gallery_filter_by_images_and_videos,6,6,6,6,1.0,True,True,True,False,True,1.0
gallery_group_by_file_type,5,11,0,11,0.0,False,False,False,False,False,0.0
gallery_list_view_type,4,4,4,4,1.0,True,True,True,False,True,1.0
gallery_play_videos_automatically,3,3,3,3,1.0,True,True,True,False,True,1.0
gallery_remember_playback_position,5,3,5,5,1.0,True,True,True,False,True,1.0
gallery_set_favorite,5,7,0,7,0.0,False,False,True,False,True,0.0
gallery_set_wallpaper,6,6,6,6,1.0,True,True,True,False,True,1.0
gallery_show_hidden_items,3,3,3,3,1.0,True,True,True,False,True,1.0
gallery_sort_by_size_asc,5,5,5,5,1.0,True,True,True,False,True,1.0
gallery_use_24_hour_time_format,5,5,5,5,1.0,True,True,True,False,True,1.0
launcher_add_apps,4,4,4,4,1.0,True,True,True,False,True,1.0
launcher_check_contributor,2,2,2,2,1.0,True,True,True,False,True,1.0
launcher_hide_app_name,1,1,1,1,1.0,True,True,True,False,True,1.0
launcher_open_about_FAQ,3,3,3,3,1.0,True,True,True,False,True,1.0
launcher_remove_app,3,3,3,3,1.0,True,True,True,False,True,1.0
launcher_rename_app,4,4,4,4,1.0,True,True,True,False,True,1.0
launcher_search_app,2,2,2,2,1.0,True,True,True,False,True,1.0
launcher_setting_close_app_when_launching,3,3,3,3,1.0,True,True,True,False,True,1.0
launcher_sort_by_custom,3,3,3,3,1.0,True,True,True,False,True,1.0
launcher_sort_by_title_desc,3,3,3,3,1.0,True,True,True,False,True,1.0
messager_add_block_numbers,5,5,5,5,1.0,True,True,True,False,True,1.0
messager_change_font_size,3,3,3,3,1.0,True,True,True,False,True,1.0
messager_check_message_properties,4,2,1,4,0.25,False,False,False,False,False,0.25
messager_create_conversation_and_check_message_properties,8,5,5,8,0.625,False,False,False,False,False,0.625
messager_create_conversation_and_search,8,8,5,8,0.625,False,False,False,False,False,0.625
messager_make_conversation_archived,4,4,4,4,1.0,True,True,True,False,True,1.0
messager_search_contacts,2,1,1,2,0.5,False,False,False,False,False,0.5
messager_search_message,2,1,2,2,1.0,False,False,False,True,False,1.0
messager_show_archived_messages,2,1,1,2,0.5,False,False,False,False,False,0.5
messager_start_a_conversation,5,5,5,5,1.0,True,True,True,False,True,1.0
music_player_album_sort_by_year,4,4,4,4,1.0,True,True,True,False,True,1.0
music_player_config_equalizer,3,3,3,3,1.0,True,True,True,False,True,1.0
music_player_create_playlist,5,5,5,5,1.0,True,True,True,False,True,1.0
music_player_create_playlist_and_search,7,5,5,7,0.7142857142857143,False,False,False,False,False,0.7142857142857143
music_player_create_playlist_and_sort_desc,8,11,3,11,0.2727272727272727,False,False,False,False,False,0.2727272727272727
music_player_open_faq,3,3,3,3,1.0,True,True,True,False,True,1.0
music_player_open_settings,2,2,2,2,1.0,True,True,True,False,True,1.0
music_player_playlist_sort_desc,3,3,3,3,1.0,True,True,True,False,True,1.0
music_player_rescan_media,2,2,2,2,1.0,True,True,True,False,True,1.0
music_player_search_playlist,2,1,1,2,0.5,False,False,False,False,False,0.5
note_add,3,3,3,3,1.0,True,True,True,False,True,1.0
note_delete,7,9,7,9,0.7777777777777778,False,False,False,True,False,0.1111111111111111
note_item_checked,1,1,1,1,1.0,True,True,True,False,True,1.0
note_lock,6,6,6,6,1.0,True,True,True,False,True,1.0
note_new_checklist,4,4,4,4,1.0,True,True,True,False,True,1.0
note_new_checklist_items,7,7,7,7,1.0,True,True,True,False,True,1.0
note_open,1,1,1,1,1.0,True,True,True,False,True,1.0
note_open_about,2,2,2,2,1.0,True,True,True,False,True,1.0
note_rename,3,1,0,3,0.0,False,False,False,False,False,0.0
note_search,2,1,1,2,0.5,False,False,False,False,False,0.5
recorder_bit_rate,3,3,3,3,1.0,True,True,True,False,True,1.0
recorder_delete,5,5,5,5,1.0,True,True,True,False,True,1.0
recorder_delete_all,7,11,11,11,1.0,True,True,True,False,True,1.0
recorder_empty_trash,3,3,3,3,1.0,True,True,True,False,True,1.0
recorder_extension,3,3,3,3,1.0,True,True,True,False,True,1.0
recorder_recycle_bin,1,1,1,1,1.0,True,True,True,False,True,1.0
recorder_recycle_settings,3,3,3,3,1.0,True,True,True,False,True,1.0
recorder_rename,5,5,5,5,1.0,True,True,True,False,True,1.0
recorder_rename_all,13,11,12,13,0.9230769230769231,False,True,True,False,True,0.7692307692307693
recorder_theme,6,6,6,6,1.0,True,True,True,False,True,1.0
